145, 112
160, 90
200, 112
610, 30
630, 30
650, 30
900, 48
970, 30
1040, 30
1176, 48
1325, 30
1350, 30
1370, 30
1400, 30
1500, 32
1635, 33
1645, 33
1655, 33
1813, 48
1885, 30
1819, 160
1750, 160
1700, 160
1676, 192
1650, 208
1568, 160
1536, 144
1471, 150
1460, 150
1400, 150
1200, 140
1181, 160
1033, 160
993, 160
725, 160
605, 208
400, 160
175, 240
150, 240
335,384
350,384
704,336
898,320
1040,320
1185,320
1800,336
1900,624
1884,496
1288,544
726,624
281,688
216,688
820, 25
1155, 522
1071, 490
462, 634
1353, 714
1313, 714
2000, 426
1609, 394
